kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"427551","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",22/02/2023,3885000
"427551","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/05/2023,1604505
"427573","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",27/06/2023,2535000
"427573","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2023,1279926
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",09/06/2023,2095000
"653526","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",20/02/2023,48240000
"403830","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",20/03/2023,2200000
"427582","032","03212","425129","0000000","0000","000","0","D","0","00000001","0000","2",20/02/2023,1679104
"427618","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",30/01/2023,12000000
"634146","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",05/06/2023,3752525
"403837","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",09/02/2023,5842500
"238741","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",24/02/2023,17676000
"440013","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",14/06/2023,1170000
"403828","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",23/02/2023,270000
"403828","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",06/03/2023,130000000
"427511","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",03/02/2023,132957
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",07/03/2023,8925000
"427511","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",28/02/2023,60665000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",12/01/2023,600000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",07/02/2023,32625000
"626402","032","03212","425912","0000000","0000","000","0","D","0","00000001","0000","2",04/01/2023,667500
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",11/05/2023,1350000
"427511","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",06/04/2023,54978
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",25/06/2023,150000
"403823","032","03212","425991","0000000","0000","000","0","0","0","00000000","0000","2",01/03/2023,199900
"652009","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",12/01/2023,658725
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",03/04/2023,2570000
"403830","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",11/05/2023,2000000
"403829","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",17/02/2023,467
"403838","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/05/2023,32831
"427582","032","03212","425139","0000000","0000","000","0","D","0","00000001","0000","2",23/06/2023,4000000
"427618","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/08/2023,1527990
"427618","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2023,2044176
"238762","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/08/2023,537900
"239188","032","03212","424118","0000000","0000","000","0","F","0","00000001","0000","2",28/04/2023,77100500
"238741","032","03212","425999","0000000","0000","000","0","D","0","00000001","0000","2",27/06/2023,155
"622035","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",26/01/2023,73800000
"622035","032","03212","424923","0000000","0000","000","0","F","0","00000001","0000","2",31/03/2023,3500000
"622035","032","03212","424911","0000000","0000","000","0","F","0","00000001","0000","2",28/02/2023,611601
"622035","032","03212","424923","0000000","0000","000","0","F","0","00000001","0000","2",31/01/2023,4200000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",14/01/2023,600000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",14/03/2023,2100000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",05/05/2023,300000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",22/06/2023,1200000
"427511","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",13/06/2023,52900000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",19/03/2023,900000
"403823","032","03212","425991","0000000","0000","000","0","0","0","00000000","0000","2",01/04/2023,1362500
"403823","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",26/07/2023,750000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",20/03/2023,9039000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",12/04/2023,845000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",26/06/2023,5855000
"403830","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",14/03/2023,2340000
"403829","032","03212","425991","0000000","0000","000","0","0","0","00000000","0000","2",20/07/2023,-8416675
"403879","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/05/2023,867440
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",26/07/2023,1000000
"238755","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",26/06/2023,5280000
"634146","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",27/04/2023,4500000
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",09/06/2023,100000
"403837","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",17/05/2023,100000
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",14/03/2023,300000
"239188","032","03212","424123","0000000","0000","000","0","F","0","00000001","0000","2",28/04/2023,990000
"403827","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",28/04/2023,5000000
"427511","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",05/04/2023,107712
"427511","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",06/03/2023,1000000
"238010","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",30/05/2023,1500000
"403833","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/07/2023,45660
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",12/06/2023,38000
"403824","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2023,71280
"403879","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/04/2023,867440
"238755","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",26/06/2023,600000
"238755","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/03/2023,2151169
"237373","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",05/07/2023,212420
"440013","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",30/03/2023,1100000
"403827","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/08/2023,1379258
"403828","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",15/06/2023,80716800
"622035","032","03212","424118","0000000","0000","000","0","F","0","00000001","0000","2",31/03/2023,41946800
"622035","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",03/01/2023,5150000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",05/02/2023,150000
"427511","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",04/04/2023,82467
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",02/06/2023,2850000
"239260","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",31/03/2023,3900000
"403833","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/03/2023,390747
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",07/07/2023,4235000
"403829","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",17/01/2023,6481751
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",06/07/2023,2100000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",18/07/2023,4400000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",23/05/2023,500000
"427618","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",19/05/2023,200000
"238755","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",23/06/2023,59101999
"634146","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",24/05/2023,28930000
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",24/03/2023,100000
"403837","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",26/05/2023,100000
"238762","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",12/07/2023,28800000
"403875","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",24/05/2023,162
"403875","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",27/02/2023,700000
"238741","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",16/01/2023,700000
"440013","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",06/06/2023,4015000
"440013","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",05/05/2023,525000
"403828","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",06/04/2023,20700000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",13/01/2023,1350000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",18/01/2023,300000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",07/05/2023,1050000
"239260","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",04/07/2023,500000
"238010","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",26/05/2023,4276000
"238010","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",28/03/2023,3500000
"403833","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",14/04/2023,350000
"403817","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",16/04/2023,15350000
