kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"403828","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","1907","2",05/04/2023,6900000
"403828","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","1907","2",01/04/2023,6822950
"403828","032","03212","524111","03212DL","2375","QDD","2","A","0","00000001","1907","2",27/04/2023,3400000
"403828","032","03212","521211","03212WA","2378","EBA","2","A","0","00000001","1907","2",13/04/2023,400000
"403828","032","03212","524111","03212DL","2375","QDD","2","A","0","00000001","1907","2",10/05/2023,2405000
"403828","032","03212","511622","03212WA","2378","EBA","2","A","0","00000001","1907","2",01/06/2023,1720570
"403828","032","03212","522191","03212WA","2378","EBA","2","A","0","00000001","1907","2",07/07/2023,26679763
"403828","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","1907","2",07/07/2023,123260629
"403828","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","1907","2",01/08/2023,4059141
"403828","032","03212","521219","03212DL","2375","QDD","2","A","0","00000001","1907","2",24/07/2023,81999400
"622035","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0503","2",02/02/2023,7418800
"622035","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","0503","2",02/02/2023,274500
"622035","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","0503","2",17/02/2023,841500
"622035","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0503","2",06/03/2023,36
"622035","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","0503","2",04/04/2023,25860000
"622035","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","0503","2",04/04/2023,450000
"622035","032","03212","522119","03212WA","2378","EBA","2","A","0","00000001","0503","2",09/05/2023,5000000
"622035","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","0503","2",08/05/2023,49586000
"622035","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","0503","2",19/06/2023,26424250
"622035","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0503","2",01/07/2023,6778564
"622035","032","03212","521211","03212DL","2376","ABW","2","A","0","00000001","0503","2",26/07/2023,9750000
"622035","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0503","2",24/07/2023,217
"622035","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0503","2",01/08/2023,540000
"427511","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0154","2",13/01/2023,49062808
"403821","032","03212","511119","03212WA","2378","EBA","1","A","0","00000001","0152","2",01/01/2023,5781
"626402","032","03212","524114","03212WA","2378","EBD","1","A","0","00000001","0151","2",27/01/2023,300000
"626402","032","03212","524113","03212WA","2378","EBD","1","A","0","00000001","0151","2",01/02/2023,1960000
"403835","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0151","2",26/01/2023,90
"626402","032","03212","521211","03212WA","2378","EBD","1","A","0","00000001","0151","2",09/02/2023,6000000
"626402","032","03212","511111","03212WA","2378","EBA","1","A","0","00000001","0151","2",07/02/2023,7036200
"403835","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","0151","2",07/02/2023,28277000
"403821","032","03212","523121","03212WA","2378","EBA","1","A","0","00000001","0152","2",09/02/2023,21203220
"403836","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","0152","2",13/02/2023,455000
"626402","032","03212","524111","03212WA","2378","EBD","1","A","0","00000001","0151","2",24/02/2023,125597820
"427511","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0154","2",20/02/2023,170
"626402","032","03212","522151","03212WA","2378","EBD","1","A","0","00000001","0151","2",21/02/2023,1800000
"626402","032","03212","522151","03212WA","2378","EBC","1","A","0","00000001","0151","2",02/03/2023,5000000
"626402","032","03212","521111","03212WA","2378","EBA","1","A","0","00000001","0151","2",28/02/2023,25198900
"403835","032","03212","522151","03212WA","2378","EBC","2","A","0","00000001","0151","2",03/03/2023,2400000
"403822","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0152","2",01/03/2023,540000
"626402","032","03212","521111","03212WA","2378","EBA","1","A","0","00000001","0151","2",08/03/2023,28517003
"427511","032","03212","521211","03212WA","2378","EBA","2","A","0","00000001","0154","2",08/03/2023,1854250
"403836","032","03212","521811","03212WA","2378","EBA","2","A","0","00000001","0152","2",08/03/2023,4578750
"427511","032","03212","521113","03212DL","2376","SAC","2","A","0","00000001","0154","2",08/03/2023,11597050
"626402","032","03212","524113","03212WA","2378","EBD","1","A","0","00000001","0151","2",06/03/2023,130000
"427511","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0154","2",15/03/2023,25469230
"403836","032","03212","524113","03212WA","2378","EBA","2","A","0","00000001","0152","2",15/03/2023,1350000
"626402","032","03212","524111","03212WA","2378","EBA","1","A","0","00000001","0151","2",27/03/2023,8243209
"403835","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0151","2",01/04/2023,128700000
"403821","032","03212","511122","03212WA","2378","EBA","1","A","0","00000001","0152","2",24/03/2023,154440
"403821","032","03212","511123","03212WA","2378","EBA","1","A","0","00000001","0152","2",01/04/2023,3250000
"403821","032","03212","511119","03212WA","2378","EBA","1","A","0","00000001","0152","2",04/04/2023,2720
"427511","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0154","2",05/04/2023,17952250
"427511","032","03212","521213","03212DL","2376","SAC","2","A","0","00000001","0154","2",11/04/2023,7300000
"626402","032","03212","524111","03212WA","4345","EBC","1","A","0","00000001","0151","2",10/04/2023,25055240
"626402","032","03212","524113","03212WA","2378","EBA","1","A","0","00000001","0151","2",06/04/2023,1250000
"626402","032","03212","521211","03212DL","2375","AFA","1","A","0","00000001","0151","2",12/04/2023,21853150
"626402","032","03212","511119","03212WA","2378","EBA","1","A","0","00000001","0151","2",14/04/2023,1341
"626402","032","03212","521211","03212WA","2378","EBA","1","A","0","00000001","0151","2",14/04/2023,6876050
"626402","032","03212","524113","03212WA","2378","EBA","1","A","0","00000001","0151","2",14/04/2023,1050000
"403835","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0151","2",01/05/2023,4284850
"626402","032","03212","521111","03212WA","2378","EBA","1","A","0","00000001","0151","2",01/05/2023,370927000
"403835","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0151","2",01/05/2023,128700000
"403821","032","03212","521119","03212WA","2378","EBA","1","A","0","00000001","0152","2",17/04/2023,1597000
"427511","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","0154","2",26/04/2023,23053800
"427511","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0154","2",27/04/2023,12756
"427511","032","03212","521811","03212DL","2376","SAC","2","A","0","00000001","0154","2",08/05/2023,89996089
"403822","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","0152","2",05/05/2023,10730000
"403821","032","03212","522119","03212WA","2378","EBA","1","A","0","00000001","0152","2",12/05/2023,7492500
"403821","032","03212","521114","03212WA","2378","EBA","1","A","0","00000001","0152","2",17/05/2023,46000
"626402","032","03212","511124","03212WA","2378","EBA","1","A","0","00000001","0151","2",17/05/2023,35370000
"403821","032","03212","524111","03212WA","2378","EBA","1","A","0","00000001","0152","2",17/05/2023,25512362
